transaction_date,disclosure_date,ticker,asset_description,type,amount,senator,party,state,industry,sector
01/11/2023,02/02/2023,MOO,VanEck Agribusiness ETF,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/11/2023,02/02/2023,ATKR,Atkore Inc. Common Stock,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Electrical Products,Technology
01/11/2023,02/02/2023,HOLX,"Hologic, Inc. - Common Stock",sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Medical Electronics,Health Care
01/11/2023,02/02/2023,BHP,BHP Group Limited American Depositary Shares (Each,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Precious Metals,Basic Industries
01/11/2023,02/02/2023,RMD,ResMed Inc. Common Stock,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Medical/Dental Instruments,Health Care
01/11/2023,02/02/2023,CVS,CVS Health Corporation Common Stock,sale_partial,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Medical/Nursing Services,Health Care
01/11/2023,02/02/2023,TU,Telus Corporation Ordinary Shares,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/11/2023,02/02/2023,DLR,"Digital Realty Trust, Inc. Common Stock",purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Real Estate Investment Trusts,Consumer Services
01/11/2023,02/02/2023,AXS,Axis Capital Holdings Limited Common Stock,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Property-Casualty Insurers,Finance
01/11/2023,02/02/2023,CME,CME Group Inc. - Class A Common Stock,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Investment Bankers/Brokers/Service,Finance
01/11/2023,02/02/2023,SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada),purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/11/2023,02/02/2023,BSM,"Black Stone Minerals, L.P. Common units representi",purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Oil & Gas Production,Energy
01/11/2023,02/02/2023,URA,Global X Uranium ETF,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/11/2023,02/02/2023,FLNG,FLEX LNG Ltd. Ordinary Shares,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,,
01/11/2023,02/02/2023,EQNR,Equinor ASA,purchase,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Integrated oil Companies,Energy
01/11/2023,02/02/2023,MCD,McDonald's Corporation Common Stock,sale_full,"$1,001 - $15,000",Thomas R. Carper,Democrat,DE,Restaurants,Consumer Services
01/19/2023,01/19/2023,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,,Unknown,Rick Scott,,,,
12/28/2022,01/13/2023,RNWK,"RealNetworks, Inc. - Common Stock",sale_full,"$15,001 - $50,000",Maria Cantwell,Democrat,WA,Computer Software: Prepackaged Software,Technology
12/23/2022,01/13/2023,GOLD,Barrick Gold Corporation Common Stock (BC),purchase,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Precious Metals,Basic Industries
12/19/2022,01/13/2023,NU,Nu Holdings Ltd. Class A Ordinary Shares,purchase,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Finance: Consumer Services,Finance
12/15/2022,01/13/2023,DIS,Walt Disney Company (The) Common Stock,sale_partial,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Services-Misc. Amusement & Recreation,Consumer Services
12/09/2022,01/13/2023,PG,"Procter &amp; Gamble Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $150.00 <br> <em>Expires:</em> 07/21/2023 </div>",sale_full,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Package Goods/Cosmetics,Basic Industries
12/09/2022,01/13/2023,KMB,"Kimberly-Clark Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $135.00 <br> <em>Expires:</em> 04/21/2023 </div>",sale_full,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Containers/Packaging,Consumer Durables
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $100.00 <br> <em>Expires:</em> 01/19/2024 </div>",sale_full,"$100,001 - $250,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PG,"Procter &amp; Gamble Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $145.00 <br> <em>Expires:</em> 06/16/2023 </div>",sale_full,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Package Goods/Cosmetics,Basic Industries
12/09/2022,01/13/2023,CLX,"Clorox Company (The) Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $140.00 <br> <em>Expires:</em> 05/19/2023 </div>",sale_full,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Specialty Chemicals,Consumer Durables
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$1,001 - $15,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$50,001 - $100,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/09/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",sale_partial,"$100,001 - $250,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
12/08/2022,01/13/2023,PYPL,"PayPal Holdings, Inc. - Common Stock",purchase,"$15,001 - $50,000",Tommy Tuberville,Republican,AL,Business Services,Miscellaneous
